,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
192,Iguatemi SA,0.005830748642039253,0.0057261147135112865,0.006790074920289514,0.005666563698148338,0.0057261107106535685
193,Ihpardini,0.00045803932083015003,0.00042357638103568114,0.0005705201722333464,0.0004135341672708476,0.00042357021374627324
194,Imc Holdings,0.00011669652772195948,0.00011175794102019401,0.00018947725032082268,0.00011064943720956559,0.00011175784193055603
195,Inc SA,0.00040359176482898,0.000414455764529451,0.0006186094683413083,0.0003629505223569655,0.00041445864807741566
196,Ind Cataguas,4.483894853971708e-05,4.0276159268482434e-05,4.638254888442099e-05,3.5349062844660855e-05,4.02774239374029e-05
197,Inepar,0.0011358750950626753,0.00102290209624565,0.0014833201307675303,0.001026638282145337,0.0010229064879368303
198,Infracomm,0.0006456188286487893,0.0006568643743805179,0.0013154669729135828,0.0006600639145152377,0.0006568463087017514
199,Intelbras,0.0006994289723153801,0.0007475302745968617,0.0014143390708198599,0.0007816510923358884,0.0007475252065044269
200,Intermedica,0.006458972093176116,0.006145311591796113,0.008829082011098818,0.006081935819312642,0.006145304953829459
201,Invepar,0.01342092954104714,0.013023473143078891,0.015608744315162829,0.012598445461995227,0.013023476311699153
202,Iochp-Maxion,0.002445496442414311,0.0023449358702391657,0.0027242106799013413,0.0017474234661512687,0.0023449315984884517
203,Irani,0.0004586297376345885,0.00043590849877295733,0.0004864847507697466,0.00037988134940841034,0.00043590721517734044
204,Isa Energia,0.005059782867225816,0.005187300330373191,0.005539556563150881,0.004092631139994387,0.005187299902563996
205,Itausa,0.008154324964396081,0.010242174454167963,0.010719116393670717,0.007632274794199877,0.01024217637312884
206,Itautec,0.0002416298068443687,0.0002146823650992366,0.00031666119774557944,0.0002087033362892139,0.00021468175232539956
207,JBS,0.02213058102101214,0.0351510277788864,0.03890521964272763,0.02658707856191618,0.035151024784889115
208,JHSF Part,0.0015258684999063063,0.0013802744855223859,0.0016802352742320997,0.0011980539299317032,0.0013802697349195165
209,JSL,0.013569219030792749,0.013773450639233112,0.023493994923748842,0.013558900674330139,0.013773453162613516
210,Jallesmachad,0.005291153130616829,0.004946927944949719,0.006521891572751685,0.004879766825642863,0.004946936713459808
211,Joao Fortes,0.0008455608611524238,0.0008236856989175412,0.000826220470120293,0.000839494596153055,0.0008236860041671954
212,Josapar,0.00013718199137611827,0.0001645058891213221,0.00012217375054749167,0.0001646328705474802,0.00016450670986219631
213,Karsten,4.2361120946813284e-05,2.4615303965914675e-05,4.7610940564868266e-05,2.7320596890010257e-05,2.4612166578173748e-05
214,Kepler Weber,0.0002889345508336833,0.0002993556768201431,0.00041862949158079707,0.0002595103452834499,0.00029935504874611783
215,Klabin S/A,0.0062965148768479185,0.006161508854215926,0.008122787441636579,0.0052476452488202235,0.00616150833186502
216,Kora Saude,0.0002612557329588686,0.0007385733485382961,0.0009568233565398587,0.0008331119746328534,0.0007385752575123918
217,LF Tel,0.003349584822131909,0.0036576943484565344,0.0057240669455598464,0.0035033418621025192,0.0036576919885058477
218,La Fonte Tel,0.0031838270711695613,0.002894835806332387,0.009009656178998316,0.002848253525726682,0.0028948361777560816
219,Laep,0.0005545894477519113,0.0005154555277316634,0.0005553035447837363,0.000570414936201671,0.0005154612923544061
220,Lavvi,0.0011215026211399879,0.0011039652566811693,0.0012372880710389124,0.000975990779324041,0.0011039638617867783
221,Le Biscuit,0.0016950874148047358,0.0014956077604636494,0.002196826869144867,0.0015521473436675556,0.0014956111026203252
222,Lifemed,4.7670423088773606e-05,4.561285208355226e-05,5.710182738527522e-05,4.4212064906147e-05,4.5607151418997565e-05
223,Light S/A,0.0031088614521929112,0.0034763056181525897,0.004348726199165519,0.0025867675541142634,0.0034763092383554243
224,Linx,0.0011241522974869919,0.0010144368338508276,0.0019488262803270895,0.001013763366317025,0.0010144296141318362
225,Lix da Cunha,6.676179414822357e-05,5.86581715677989e-05,0.00010657446548376126,5.9038861511601335e-05,5.865090842328303e-05
226,Localiza,0.017094618990120443,0.01709635953238949,0.024823250182490833,0.016750320069809116,0.01709636034743745
227,Locamerica,0.0032675604592698735,0.003192571135820365,0.00397297846154559,0.002765166858534784,0.0031925775863061905
228,Log Com Prop,0.0010482871880057394,0.0010004364536391184,0.0011599849353653778,0.0008767091087847724,0.0010004396259823563
229,Log-In,0.0008541933900665887,0.000804708630370892,0.001511437713309447,0.0007370342138430252,0.0008047062025758983
230,Lojas Americ,0.007346113613961051,0.007611211580968085,0.008153272579343632,0.007097267547629544,0.007611216717924534
231,Lojas Hering,1.358328163172342e-05,1.9456989740932665e-05,3.810548542610647e-06,2.4429065764101934e-05,1.941042782487377e-05
232,Lojas Marisa,0.0010573170625231454,0.0010114599036250011,0.0012263661899647807,0.0008749514638179247,0.0010114555395222525
233,Lojas Renner,0.004160935854661911,0.003618521989026459,0.004391941499113635,0.0033944969459819034,0.003618518215069879
