,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
116,Grupo Mateus,0.00575361557248551,0.0032842341605371595,0.00575361557248551,0.007100700106607749,0.00464519700860255,0.007100700106607749,0.00846942793172168,0.00544221334505613,0.00846942793172168,0.0070845618614631305,0.00456367489621063,0.0070845618614631305,0.00710070009735852,0.00464519700860255,0.00710070009735852
117,Grupo Natura,0.017010298093628647,0.013994815740567582,0.017010298093628647,0.02940014449496061,0.02842207940781341,0.02940014449496061,0.028077476005809898,0.024715955848270542,0.028077476005809898,0.024359330386984665,0.017841900351687447,0.024359330386984665,0.029400144426734248,0.028422079407813418,0.029400144426734248
118,Grupo Sbf,0.0021507856505150833,0.0022037048502262084,0.0021507856505150833,0.004098931924177609,0.004286366969007642,0.004098931924177609,0.003632181534042925,0.003957730625304991,0.003632181534042925,0.004025368258756775,0.004108173783590725,0.004025368258756775,0.004098931917591133,0.004286366969007642,0.004098931917591133
119,Guararapes,0.0037176932112806026,0.002733219654829836,0.0037176932112806026,0.006260686632711261,0.006501908634825428,0.006260686632711261,0.006973911292326436,0.006107688055010941,0.006973911292326436,0.005654738478503636,0.004312201422296771,0.005654738478503636,0.00626068663030952,0.006501908634825428,0.00626068663030952
120,Habitasul,0.0008023309966625015,0.0004190220937759028,0.0008023309966625015,0.0013435185255166774,0.0008928889341669362,0.0013435185255166774,0.0016279175257772555,0.0010144394662679277,0.0016279175257772555,0.0011224855292804028,0.00057004704306685,0.0011224855292804028,0.0013435185260087974,0.0008928889341669362,0.0013435185260087974
121,Hapvida,0.018466442973206355,0.01319037229733516,0.018466442973206355,0.021283156412921972,0.0188465554771196,0.021283156412921972,0.022740817625302202,0.017455575843738764,0.022740817625302202,0.01942864835124807,0.014166690301148522,0.01942864835124807,0.02128315641874643,0.0188465554771196,0.02128315641874643
122,Hbr Realty,0.0015640968180882168,0.003973120270527284,0.0015640968180882168,0.0026942248507832753,0.005404394657985733,0.0026942248507832753,0.0034021518194661,0.005806104743040233,0.0034021518194661,0.0026574351292752083,0.005253131154748367,0.0026574351292752083,0.0026942249133570084,0.005404394657985725,0.0026942249133570084
123,Helbor,0.0026570419186691258,0.0023459290744060305,0.0026570419186691258,0.005907818199453499,0.006535805033202869,0.005907818199453499,0.006206965296779562,0.0062720534551990465,0.006206965296779562,0.004821059407181579,0.00459990263469329,0.004821059407181579,0.005907818197076886,0.006535805033202866,0.005907818197076886
124,Hidrovias,0.004007448127753843,0.0030710401036379785,0.004007448127753843,0.0060072459445284,0.0058276595724842065,0.0060072459445284,0.006211341600889193,0.00607527653799935,0.006211341600889193,0.005561943660573493,0.005308733883789428,0.005561943660573493,0.006007245954223857,0.0058276595724842065,0.006007245954223857
125,Hypera,0.010384087337545013,0.011379730058827513,0.010384087337545013,0.016026107945435887,0.022014986708228833,0.016026107945435887,0.015420834522839249,0.020849311790295495,0.015420834522839249,0.012837977720267523,0.01567851704699183,0.012837977720267523,0.016026107947742476,0.022014986708228837,0.016026107947742476
126,Iguatemi SA,0.0036224071379318697,0.004174719154206675,0.0036224071379318697,0.008092764108832338,0.009644515777516342,0.008092764108832338,0.007377001127838271,0.010945169116132948,0.007377001127838271,0.0061708565842311346,0.007072452993484868,0.0061708565842311346,0.00809276413005654,0.009644515777516339,0.00809276413005654
127,Imc S/A,0.0019929248447056857,0.003236162711504169,0.0019929248447056857,0.0023371547698165063,0.005014755810701294,0.0023371547698165063,0.0032678396536627505,0.005212578925870714,0.0032678396536627505,0.002021389098583994,0.0038531231676454114,0.002021389098583994,0.002337154766377178,0.005014755810701294,0.002337154766377178
128,Infracomm,0.00492593371025066,0.003638640648449,0.00492593371025066,0.0061815826059879,0.00522930907020008,0.0061815826059879,0.00777067130319616,0.00551525838709606,0.00777067130319616,0.006228774655298379,0.005232920788377419,0.006228774655298379,0.00618158258353496,0.00522930907020008,0.00618158258353496
129,Intelbras,0.002473642055943964,0.003593456866037142,0.002473642055943964,0.00353730983857865,0.005339908511379775,0.00353730983857865,0.003789482509658033,0.005470491580817017,0.003789482509658033,0.003460632178400165,0.005162263002852959,0.003460632178400165,0.0035373098312309666,0.005339908511379775,0.0035373098312309666
130,Iochp-Maxion,0.004150359235684549,0.0027058980458940125,0.004150359235684549,0.00855899954419828,0.007301597684632563,0.00855899954419828,0.0075694623493562,0.005990365806031485,0.0075694623493562,0.005669387835198632,0.00405300863341883,0.005669387835198632,0.008558999546515787,0.007301597684632563,0.008558999546515787
131,Irani,0.0014171863201254361,0.0009834639855801426,0.0014171863201254361,0.0025968241612950543,0.0023438861875950626,0.0025968241612950543,0.002518466219230405,0.0023659817052263925,0.002518466219230405,0.0020815175680744405,0.0014409886971226175,0.0020815175680744405,0.002596824161512029,0.0023438861875950626,0.002596824161512029
132,Isa Energia,0.008536111325436264,0.009493990718124625,0.008536111325436264,0.0141416302075695,0.018364878535832484,0.0141416302075695,0.01498029628226299,0.016621208658437584,0.01498029628226299,0.011375259778332142,0.01207259793875238,0.011375259778332142,0.014141630211906947,0.01836487853583248,0.014141630211906947
133,Itausa,0.011229632073108382,0.00691914911126598,0.011229632073108382,0.01773776188491604,0.01574444931103988,0.01773776188491604,0.017566846989689626,0.014923721529600127,0.017566846989689626,0.01543711694166277,0.0100177678351727,0.01543711694166277,0.017737761899802428,0.01574444931103988,0.017737761899802428
134,JBS,0.05052701589445516,0.055742219630176566,0.05052701589445516,0.08695289874161966,0.1121771068232061,0.08695289874161966,0.10760163702800014,0.11865144197661961,0.10760163702800014,0.06620309605159454,0.07294591952371873,0.06620309605159454,0.09250155381805673,0.1167193082247335,0.09250155381805673
135,JHSF Part,0.0033632965774272727,0.00338615980078122,0.0033632965774272727,0.006885027126984021,0.007365425000254938,0.006885027126984021,0.005972530897423585,0.0056310204607466175,0.005972530897423585,0.005328461010621377,0.004735401971618756,0.005328461010621377,0.006885027129439433,0.007365425000254938,0.006885027129439433
136,JSL,0.014406127014586477,0.023670782908417013,0.014406127014586477,0.025707209838692117,0.0343988195511383,0.025707209838692117,0.02505662964775164,0.030576828761112833,0.02505662964775164,0.023990972688642937,0.032708529700602736,0.023990972688642937,0.025707209954803543,0.03439881955113829,0.025707209954803543
137,Jallesmachad,0.004977048116836575,0.003819722688443625,0.004977048116836575,0.008325355502393359,0.007007887122694067,0.008325355502393359,0.009307129008391158,0.0068490267798487665,0.009307129008391158,0.008302803023709433,0.0067442126277448495,0.008302803023709433,0.008325355518616583,0.007007887122694067,0.008325355518616583
138,Joao Fortes,0.0027569828282447938,0.0019592666143456,0.0027569828282447938,0.0042854510403384505,0.0036484333360537998,0.0042854510403384505,0.0038425638982227334,0.004351591622054775,0.0038425638982227334,0.0039221347080916485,0.003272536095957775,0.0039221347080916485,0.004285451046255969,0.0036484333360537998,0.004285451046255969
139,Josapar,0.0007665467132907191,0.0006244053807268838,0.0007665467132907191,0.0015237949625529496,0.0015168793154526838,0.0015237949625529496,0.00177460152739822,0.0016790823016028865,0.00177460152739822,0.00123514853216132,0.0010305053049736027,0.00123514853216132,0.0015237949621923566,0.0015168793154526838,0.0015237949621923566
140,Kepler Weber,0.000782696752105371,0.00045083229606153246,0.000782696752105371,0.0009106295049022963,0.0006914010088951775,0.0009106295049022963,0.001298048188701538,0.0009029915508535199,0.001298048188701538,0.000732536996828822,0.000486604503782955,0.000732536996828822,0.0009106295046029925,0.0006914010088951775,0.0009106295046029925
141,Klabin S/A,0.013046002753226524,0.011740591026155822,0.013046002753226524,0.02486018044657253,0.02655283967989545,0.02486018044657253,0.02505622686312371,0.028599208896017136,0.02505622686312371,0.02016363235509812,0.018872497005777766,0.02016363235509812,0.024860180446328213,0.02655283967989545,0.024860180446328213
142,Kora Saude,0.003422865024648206,0.011371224445179776,0.003422865024648206,0.0080150131309625,0.014499664939757764,0.0080150131309625,0.004908921756730278,0.016859168823387463,0.004908921756730278,0.007636113757540213,0.0145308379914935,0.007636113757540213,0.0080150133573111,0.014499664939757764,0.0080150133573111
143,Lavvi,0.0031104633700390536,0.006914041522139308,0.0031104633700390536,0.004684632700155392,0.009059312701980092,0.004684632700155392,0.003911865853229208,0.009420509347164362,0.003911865853229208,0.004536989580137592,0.008699248333824215,0.004536989580137592,0.004684632631918115,0.009059312701980092,0.004684632631918115
144,Light S/A,0.02611174247804678,0.029448220300709274,0.02611174247804678,0.03814427920402925,0.052132807054463035,0.03814427920402925,0.03879939256967165,0.04285040657125024,0.03879939256967165,0.03140050767031808,0.03709615906193959,0.03140050767031808,0.03814427917891773,0.052132807054463035,0.03814427917891773
145,Localiza,0.01398105364872911,0.007017226376042485,0.01398105364872911,0.024513369459174393,0.01618591953297531,0.024513369459174393,0.022487369345091913,0.015304253372983027,0.022487369345091913,0.020509185181730546,0.010588511630867747,0.020509185181730546,0.024513369465617846,0.01618591953297531,0.024513369465617846
146,Log Com Prop,0.0023470143343992363,0.0023454994585690525,0.0023470143343992363,0.00406320788946045,0.004193834864819472,0.00406320788946045,0.004567434897626205,0.00454613832769191,0.004567434897626205,0.003463988416962853,0.0032661992100589477,0.003463988416962853,0.0040632079010823816,0.004193834864819472,0.0040632079010823816
147,Log-In,0.004161373816878073,0.005275106951722657,0.004161373816878073,0.005108568666024643,0.00884149140339562,0.005108568666024643,0.006581572087347108,0.009397072748229656,0.006581572087347108,0.004999169655282587,0.00642882295090734,0.004999169655282587,0.00510856866307319,0.00884149140339562,0.00510856866307319
148,Lojas Marisa,0.0014860353841604542,0.0012756372535333612,0.0014860353841604542,0.002794678214862583,0.003061198013622053,0.002794678214862583,0.0031245453970119032,0.003382800600922286,0.0031245453970119032,0.0023359893388353098,0.002055926090516539,0.0023359893388353098,0.0027946782153066584,0.003061198013622053,0.0027946782153066584
149,Lojas Renner,0.007180670325060484,0.00568585756217967,0.007180670325060484,0.009005843907136385,0.009008063349941803,0.009005843907136385,0.011320790603557082,0.009325126431258735,0.011320790603557082,0.00812626654393271,0.0066714904212198025,0.00812626654393271,0.009005843909142578,0.0090080633499418,0.009005843909142578
150,Lopes Brasil,0.0005121673987806115,0.000845152937707446,0.0005121673987806115,0.0005008078697683913,0.001140427077016482,0.0005008078697683913,0.0005210232459320876,0.0011378930305953384,0.0005210232459320876,0.0004561843853694536,0.0007926284225064692,0.0004561843853694536,0.0005008078694612278,0.001140427077016482,0.0005008078694612278
151,Lupatech,0.001735988420562329,0.006240141071301537,0.001735988420562329,0.0037675885253558817,0.01034086337047233,0.0037675885253558817,0.0038383216350852856,0.01092606527585353,0.0038383216350852856,0.0025020696864239697,0.007976065008913022,0.0025020696864239697,0.0037675885946160848,0.01034086337047233,0.0037675885946160848
152,Lwsa,0.007080794374526412,0.011947621611690088,0.007080794374526412,0.008331147680198325,0.016273858399598006,0.008331147680198325,0.012596287282116961,0.018140009543705437,0.012596287282116961,0.007813843653620981,0.015135285802357687,0.007813843653620981,0.008331147682949043,0.016273858399598006,0.008331147682949043
153,M.Diasbranco,0.0025310832142383844,0.001458094636008665,0.0025310832142383844,0.00323473855073703,0.0024228666759928226,0.00323473855073703,0.0031578750119953987,0.00231689320356042,0.0031578750119953987,0.0027932755753430623,0.0015991569854576602,0.0027932755753430623,0.0032347385494246573,0.0024228666759928226,0.0032347385494246573
154,MRV,0.004553208705063868,0.0036483199249422852,0.004553208705063868,0.00904996728387374,0.00889468514016211,0.00904996728387374,0.008601821765819178,0.008450444622442398,0.008601821765819178,0.006914448302764933,0.005807366740768865,0.006914448302764933,0.009049967287996976,0.00889468514016211,0.009049967287996976
155,Magaz Luiza,0.013018637985676604,0.009313177152459225,0.013018637985676604,0.01463858163895124,0.014928163170480185,0.01463858163895124,0.01638753747609811,0.014836558392835967,0.01638753747609811,0.013218735167308412,0.010315377732649745,0.013218735167308412,0.014638581632708276,0.014928163170480185,0.014638581632708276
156,Mangels Indl,0.00042003600586401364,0.001267251763740575,0.00042003600586401364,0.00044269188861671607,0.00124489838013135,0.00044269188861671607,0.0009813321398392,0.0021790368817297748,0.0009813321398392,0.0004477543403495,0.001247180381559975,0.0004477543403495,0.0004426918965503386,0.00124489838013135,0.0004426918965503386
157,Marcopolo,0.0021015124089047736,0.0017684689420062124,0.0021015124089047736,0.003829992491860443,0.0045529159648025124,0.003829992491860443,0.0038141324171952658,0.004609470288547018,0.0038141324171952658,0.003163688063836405,0.0031283132818351925,0.003163688063836405,0.0038299924902991576,0.0045529159648025124,0.0038299924902991576
158,Marfrig,0.023510363927318242,0.01768372729894609,0.023510363927318242,0.048073366007717444,0.04431566029174912,0.048073366007717444,0.045187844600401296,0.042899294628767924,0.045187844600401296,0.03628868807266615,0.028064854984639925,0.03628868807266615,0.04807336597887513,0.04431566029174912,0.04807336597887513
159,Mater Dei,0.0065527678463458,0.004731394869113256,0.0065527678463458,0.0084014711458213,0.006141276936628333,0.0084014711458213,0.009192102233615511,0.007052396760909133,0.009192102233615511,0.008505108326167366,0.0060952420537825,0.008505108326167366,0.008401471031235168,0.006141276936628333,0.008401471031235168
160,Melhor SP,0.0004466810732811268,0.0006402652081792636,0.0004466810732811268,0.0005069554709399584,0.0008805625976519954,0.0005069554709399584,0.0007435584413478837,0.0010507306750476772,0.0007435584413478837,0.0004707328792660673,0.0007393969725416045,0.0004707328792660673,0.0005069554665721032,0.0008805625976519954,0.0005069554665721032
161,Meliuz,0.0015173253636156334,0.0034164130798325,0.0015173253636156334,0.002052394232120542,0.003900488881320483,0.002052394232120542,0.002568676063265892,0.005007724442669617,0.002568676063265892,0.0019806519637194484,0.0038256717515794333,0.0019806519637194484,0.0020523942509583417,0.003900488881320483,0.0020523942509583417
162,Melnick,0.0022859073794410448,0.002742656961328931,0.0022859073794410448,0.0030279316362303845,0.004219426666898992,0.0030279316362303845,0.003554188778168715,0.004349939900472646,0.003554188778168715,0.003119768678041154,0.004024956690534754,0.003119768678041154,0.0030279315755693923,0.004219426666898992,0.0030279315755693923
