,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?,Erro
2260,Eletromidia,2023-10-01,0.0028973281379949256,0.0012361745859943546,0.001661153552000571,0.005030529961592208,0.001661153552000571,False,True,0.001661153552000571
2261,Eletromidia,2024-01-01,0.002634409128691617,0.001075830020307259,0.0015585791083843582,0.004437140947614804,0.0015585791083843582,False,True,0.0015585791083843582
2262,Eletromidia,2024-04-01,-0.00666240225704795,0.0010972037861559406,0.007759606043203891,0.004123453996367353,0.007759606043203891,False,True,-0.007759606043203891
2263,Eletromidia,2024-07-01,0.003882508461280576,0.0008357637454203879,0.003046744715860188,0.004335062611889716,0.003046744715860188,False,True,0.003046744715860188
2264,Eletropar,2016-01-01,5.3437613282358853e-05,6.950779416820911e-05,1.6070180885850258e-05,7.000796255912905e-05,1.6070180885850258e-05,False,True,-1.6070180885850258e-05
2265,Eletropar,2016-10-01,0.0001293647181783708,6.603299956308963e-05,6.333171861528118e-05,6.278317607236301e-05,6.333171861528118e-05,False,True,6.333171861528118e-05
2266,Eletropar,2017-07-01,-9.63708235791616e-05,7.665937003573899e-05,0.0001730301936149006,6.236671708856556e-05,0.0001730301936149006,True,False,-0.0001730301936149006
2267,Eletropar,2017-10-01,-0.00012335616105807468,5.603162187596795e-05,0.0001793877829340426,8.327520646332024e-05,0.0001793877829340426,True,False,-0.0001793877829340426
2268,Eletropar,2018-01-01,0.00014207869647275828,3.473329519520646e-05,0.00010734540127755182,9.67591226673055e-05,0.00010734540127755182,False,True,0.00010734540127755182
2269,Eletropar,2018-04-01,0.00039899235699247804,4.034872817283225e-05,0.0003586436288196458,9.779729021885978e-05,0.0003586436288196458,True,False,0.0003586436288196458
2270,Eletropar,2018-07-01,0.00038222886734784467,7.021504299353517e-05,0.0003120138243543095,0.0001420869844198819,0.0003120138243543095,True,False,0.0003120138243543095
2271,Eletropar,2018-10-01,-0.0008556103318833053,9.916164907416766e-05,0.0009547719809574729,0.0001614187839900414,0.0009547719809574729,True,False,-0.0009547719809574729
2272,Eletropar,2019-01-01,-1.4743351985480047e-05,4.186415930569892e-05,5.6607511291178966e-05,0.00028865234823092703,5.6607511291178966e-05,False,True,-5.6607511291178966e-05
2273,Eletropar,2019-10-01,-9.71310502235756e-05,5.298815014987059e-06,0.00010242986523856266,0.0002755859338591077,0.00010242986523856266,False,True,-0.00010242986523856266
2274,Eletropar,2020-07-01,0.00017699193765130516,1.647784884869967e-05,0.0001605140888026055,0.0002669692224140675,0.0001605140888026055,False,True,0.0001605140888026055
2275,Eletropar,2020-10-01,0.0001211575477242377,2.7954613508801928e-05,9.320293421543577e-05,0.0002540471606841436,9.320293421543577e-05,False,True,9.320293421543577e-05
2276,Eletropar,2021-01-01,-0.00020116083312937683,-2.2918595239278324e-05,0.0001782422378900985,0.00023884224470121297,0.0001782422378900985,False,True,-0.0001782422378900985
2277,Eletropar,2021-04-01,0.0002582720827606355,1.1241261750154857e-05,0.00024703082101048065,0.00022340445244154483,0.00024703082101048065,False,True,0.00024703082101048065
2278,Eletropar,2021-07-01,-0.00014693054767922487,-5.283374079469759e-05,9.409680688452727e-05,0.00022406448969809834,9.409680688452727e-05,False,True,-9.409680688452727e-05
2279,Eletropar,2021-10-01,-7.893508302303509e-05,8.262961861465723e-06,8.719804488450082e-05,0.00020962880500085792,8.719804488450082e-05,False,True,-8.719804488450082e-05
2280,Eletropar,2022-01-01,9.062158325101599e-05,0.00010706344372813147,1.6441860477115478e-05,0.00019987413764160173,1.6441860477115478e-05,False,True,-1.6441860477115478e-05
2281,Eletropar,2022-04-01,0.0003215329934584954,7.125221174037499e-05,0.00025028078171812043,0.00019008737369751962,0.00025028078171812043,False,True,0.00025028078171812043
2282,Eletropar,2022-07-01,-0.0003545879398414442,-0.0001055899225161327,0.0002489980173253115,0.0001909344768236847,0.0002489980173253115,False,True,-0.0002489980173253115
2283,Eletropar,2022-10-01,-6.651314772343486e-05,3.0476342947564875e-05,9.698949067099974e-05,0.00018755465536479007,9.698949067099974e-05,False,True,-9.698949067099974e-05
2284,Eletropar,2023-01-01,7.011685791113997e-05,4.136895856953654e-05,2.8747899341603434e-05,0.00018461633582684655,2.8747899341603434e-05,False,True,2.8747899341603434e-05
2285,Eletropar,2023-04-01,0.0003182895288558196,4.657145153935517e-05,0.00027171807731646443,0.00018451820893251384,0.00027171807731646443,False,True,0.00027171807731646443
2286,Eletropar,2023-07-01,-0.00021767224648405747,-0.00017637380610270394,4.129844038135353e-05,0.00018404721307904948,4.129844038135353e-05,False,True,-4.129844038135353e-05
2287,Eletropar,2023-10-01,-0.0001586010745079358,-7.572379742465759e-05,8.287727708327822e-05,0.00017838963748784576,8.287727708327822e-05,False,True,-8.287727708327822e-05
2288,Eletropar,2024-01-01,4.876281488241929e-05,5.112773177088898e-05,2.3649168884696894e-06,0.00017367564516424853,2.3649168884696894e-06,False,True,-2.3649168884696894e-06
2289,Eletropar,2024-04-01,-1.0831807551126005e-05,4.8767288410202387e-05,5.959909596132839e-05,0.0001624985888187172,5.959909596132839e-05,False,True,-5.959909596132839e-05
2290,Eletropar,2024-07-01,5.2775352851419655e-05,6.553621451433267e-05,1.2760861662913011e-05,0.00015694703710983972,1.2760861662913011e-05,False,True,-1.2760861662913011e-05
2291,Emae,2015-01-01,0.0023759767757163264,-0.0003859084846092968,0.002761885260325623,0.0010631115808552734,0.002761885260325623,True,False,0.002761885260325623
2292,Emae,2015-04-01,-0.0007975000239538454,0.00022770866497570836,0.0010252086889295537,0.0014602229465470733,0.0010252086889295537,False,True,-0.0010252086889295537
2293,Emae,2015-07-01,0.0006231249672101757,7.499438771251686e-05,0.0005481305794976589,0.0013808687909911458,0.0005481305794976589,False,True,0.0005481305794976589
2294,Emae,2015-10-01,-0.0009245048588444327,0.00014523780944819328,0.001069742668292626,0.001296109454992686,0.001069742668292626,False,True,-0.001069742668292626
2295,Emae,2016-01-01,0.0006301176825673771,1.0714277005534807e-05,0.0006194034055618423,0.001257968497398782,0.0006194034055618423,False,True,0.0006194034055618423
2296,Emae,2016-04-01,-4.929724945390568e-05,3.9084909584886774e-05,8.838215903879245e-05,0.001203537146112304,8.838215903879245e-05,False,True,-8.838215903879245e-05
2297,Emae,2016-07-01,-0.0001121485520310106,-1.3505283924732566e-05,9.864326810627803e-05,0.00114290327054101,9.864326810627803e-05,False,True,-9.864326810627803e-05
2298,Emae,2016-10-01,0.00013337846545402599,-8.76402355287228e-06,0.00014214248900689826,0.0010899991689829955,0.00014214248900689826,False,True,0.00014214248900689826
2299,Emae,2017-01-01,1.0901417821784776e-06,2.152288761628898e-05,2.0432745834110502e-05,0.0009699576614554768,2.0432745834110502e-05,False,True,-2.0432745834110502e-05
2300,Emae,2017-04-01,-0.00022906795522903423,-2.4161556602258527e-05,0.0002049063986267757,0.0009241110556634173,0.0002049063986267757,False,True,-0.0002049063986267757
2301,Emae,2017-07-01,0.0002683052614640413,2.168693798394727e-05,0.00024661832348009405,0.0008742565702750893,0.00024661832348009405,False,True,0.00024661832348009405
2302,Emae,2017-10-01,0.0005966469108054095,0.00011158100017762091,0.00048506591062778863,0.0008267609646344272,0.00048506591062778863,False,True,0.00048506591062778863
2303,Emae,2018-01-01,-0.0007111327755602304,-0.00017586452021320687,0.0005352682553470235,0.0007168553537488317,0.0005352682553470235,False,True,-0.0005352682553470235
2304,Emae,2018-04-01,-0.0007150998711911161,2.105865618985409e-05,0.0007361585273809702,0.0006523726097763318,0.0007361585273809702,False,True,-0.0007361585273809702
2305,Emae,2018-07-01,-0.0002481772840946528,9.860512795956643e-05,0.0003467824120542192,0.0006512434124062394,0.0003467824120542192,False,True,-0.0003467824120542192
2306,Emae,2018-10-01,0.001239895320824136,0.00042265014603764216,0.0008172451747864937,0.0005972255344255478,0.0008172451747864937,False,True,0.0008172451747864937
2307,Emae,2019-01-01,-0.0007284836267648087,-0.00041774537525172083,0.0003107382515130879,0.0005295288038934567,0.0003107382515130879,False,True,-0.0003107382515130879
2308,Emae,2019-04-01,-0.000521934222056708,-0.00036665470905711175,0.00015527951299959628,0.0005308089495361466,0.00015527951299959628,False,True,-0.00015527951299959628
2309,Emae,2019-07-01,0.00040767361790461365,-6.294596844242042e-05,0.00047061958634703405,0.0005200762206576642,0.00047061958634703405,False,True,0.00047061958634703405
2310,Emae,2019-10-01,-0.00016262206611061814,0.00023965222248736198,0.00040227428859798014,0.0005021743107975926,0.00040227428859798014,False,True,-0.00040227428859798014
2311,Emae,2020-01-01,0.0003471866967368342,6.342325443503313e-05,0.0002837634423018011,0.00048761456475531964,0.0002837634423018011,False,True,0.0002837634423018011
2312,Emae,2020-04-01,-0.0007331877344921578,-0.0004692432886105269,0.0002639444458816309,0.00047834462333699136,0.0002639444458816309,False,True,-0.0002639444458816309
